id,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
420,Control,https://www.imdb.com/title/tt8585800/?ref_=adv_li_tt,2019,M,8.1,"3,708","You are Jesse Faden, a young woman with a troubled past. You become the new Director of the Bureau of Control - Our frontline in researching and fighting against supernatural enemies like the Hiss threatening our very existence.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
421,Hellblade: Senua's Sacrifice,https://www.imdb.com/title/tt4674622/?ref_=adv_li_tt,2017,M,8.7,"3,693","Set in the age of Vikings, a broken Celtic warrior named Senua embarks on a haunting vision quest into Viking Hell to fight for the soul of her dead lover.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
422,Hellblade: Senua's Sacrifice,https://www.imdb.com/title/tt4674622/?ref_=adv_li_tt,2017,M,8.7,"3,691","Set in the age of Vikings, a broken Celtic warrior named Senua embarks on a haunting vision quest into Viking Hell to fight for the soul of her dead lover.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
423,Hellblade: Senua's Sacrifice,https://www.imdb.com/title/tt4674622/?ref_=adv_li_tt,2017,M,8.7,"3,690","Set in the age of Vikings, a broken Celtic warrior named Senua embarks on a haunting vision quest into Viking Hell to fight for the soul of her dead lover.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
424,The Legend of Zelda: Majora's Mask,https://www.imdb.com/title/tt0264790/?ref_=adv_li_tt,2000,E,9,"3,651","After becoming the hero of Hyrule, Link stumbles into the enchanted land of Termina, where a falling moon will crush the world in three days.",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
425,Final Fantasy VII Remake,https://www.imdb.com/title/tt6057416/?ref_=adv_li_tt,2020,T,9,"3,637",Re-imagining of Final Fantasy VII (1997). A former soldier joins an eco-terrorist group in a mission against the electric power company he used to work for in order to protect the planet and all who reside on it.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
426,Final Fantasy VII Remake,https://www.imdb.com/title/tt6057416/?ref_=adv_li_tt,2020,T,9,"3,635",Re-imagining of Final Fantasy VII (1997). A former soldier joins an eco-terrorist group in a mission against the electric power company he used to work for in order to protect the planet and all who reside on it.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
427,Need for Speed: Carbon,https://www.imdb.com/title/tt0790814/?ref_=adv_li_tt,2006,E10+,7.4,"3,627","The only free member of the Blacklist of Rockport City must now bring down an old ally, in complete control of the street racing world in Palmont.",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
428,Life Is Strange: Before the Storm,https://www.imdb.com/title/tt6905446/?ref_=adv_li_tt,2017,M,7.9,"3,593",The story of Chloe's relationship with Rachel Amber before the manifestation of Max Caulfield's abilities.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
429,Journey,https://www.imdb.com/title/tt1821474/?ref_=adv_li_tt,2012,E,8.6,"3,592","A robed figure in a desolate world undertakes a journey towards a distant, glowing mountain.",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
